Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,EID
"Scoones I., Newell P., Leach M.","7003643020;35926421300;7201653088;","THE POLITICS OF GREEN TRANSFORMATIONS",2015,"The Politics of Green Transformations",,,,"1","220",,253,"10.4324/9781315747378",2-s2.0-85145156184
[No author name available],[No author id available],[No title available],2020,,,,,"","",,,,2-s2.0-85161265218
"Shove E.","6602804089;","Social theory and climate change: Questions often, sometimes and not yet asked",2010,"Theory, Culture and Society","27","2",,"277","288",,132,"10.1177/0263276410361498",2-s2.0-77952626831
"Stirling A.","7005167329;","EMANCIPATING TRANSFORMATIONS: From controlling ‘the transition’ to culturing plural radical progress",2015,"The Politics of Green Transformations",,,,"54","67",,91,"10.4324/9781315747378-4",2-s2.0-85145129826
"Stojanovic T., Gee K.","6603765785;26643898100;","Governance as a framework to theorise and evaluate marine planning",2020,"Marine Policy","120",,"104115","","",,13,"10.1016/j.marpol.2020.104115",2-s2.0-85089535056
"Swilling M.","",[No title available],2020,,,,,"66","",,1,,2-s2.0-85161298321
"Temper L., Walter M., Rodriguez I., Kothari A., Turhan E.","29567631700;36180618500;7102747282;35292478800;56613089100;","A perspective on radical transformations to sustainability: resistances, movements and alternatives",2018,"Sustainability Science","13","3",,"747","764",,110,"10.1007/s11625-018-0543-8",2-s2.0-85043699297
"Termeer C.J.A.M., Dewulf A., Biesbroek G.R.","55880445000;23060363600;57200791892;","Transformational change: governance interventions for climate change adaptation from a continuous change perspective",2017,"Journal of Environmental Planning and Management","60","4",,"558","576",,150,"10.1080/09640568.2016.1168288",2-s2.0-84976907889
"TWI2050 – The World in 2050","","Transformations to Achieve the Sustainable Development Goals. Report Prepared by the World in 2050 Initiative",2018,"Transformations to Achieve the Sustainable Development Goals",,,,"","",,98,,2-s2.0-85053619659
[No author name available],[No author id available],[No title available],2021,,,,,"","",,,,2-s2.0-85161323810
"Virdin J., Vegh T., Jouffray J.-B., Blasiak R., Mason S., Österblom H., Vermeer D., Wachtmeister H., Werner N.","55857492400;55702125800;56426424000;56149946000;57224614925;6505898338;57221722028;56179272500;57221723588;","The Ocean 100: Transnational corporations in the ocean economy",2021,"Science Advances","7","3","eabc8041","","",,46,"10.1126/sciadv.abc8041",2-s2.0-85099962549
"Visseren-Hamakers I.","",[No title available],2022,,,,,"67","90",,,,2-s2.0-85161323674
"Visseren-Hamakers I. J., Kok M. T. J.","","The Urgency of Transforming Biodiversity Governance",2022,"Transforming Biodiversity Governance",,,,"3","22",,5,,2-s2.0-85135307647
"Voyer M., Quirk G., McIlgorm A., Azmi K.","49962707900;57199168354;6507295837;57189321014;","Shades of blue: what do competing interpretations of the Blue Economy mean for oceans governance?",2018,"Journal of Environmental Policy and Planning","20","5",,"595","616",,157,"10.1080/1523908X.2018.1473153",2-s2.0-85047136041
"Walker B., Holling C.S., Carpenter S.R., Kinzig A.","7402209175;6701738862;55630395300;7004080525;","Resilience, adaptability and transformability in social-ecological systems",2004,"Ecology and Society","9","2","5","","",9,4167,"10.5751/ES-00650-090205",2-s2.0-20444454972
"Weaver D., Moyle B.D., Casali L., McLennan C.-L.","7403128851;36440163600;57732048000;57191441417;","Pragmatic engagement with the wicked tourism problem of climate change through ‘soft’ transformative governance",2022,"Tourism Management","93",,"104573","","",,4,"10.1016/j.tourman.2022.104573",2-s2.0-85131590320
